"MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_gexp","MixS_gexp","screen.time_MV_gexp","class.time_MV_gexp","ERR_MV_gexp","screen.time_RRS_gexp","class.time_RRS_gexp","ERR_RRS_gexp","screen.time_KG_gexp","class.time_KG_gexp","ERR_KG_gexp","captured#Blocks","modelsize_MarS_gexp","modelsize_MixS_gexp","modelsize_MV_gexp","modelsize_RRS_gexp","modelsize_KG_gexp","capSig_MarS_gexp","capSig_MixS_gexp","capSig_MV_gexp","capSig_RRS_gexp","capSig_KG_gexp","capNoise_MarS_gexp","capNoise_MixS_gexp","capNoise_MV_gexp","capNoise_RRS_gexp","capNoise_KG_gexp","MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_gsqrt","MixS_gsqrt","screen.time_MV_gsqrt","class.time_MV_gsqrt","ERR_MV_gsqrt","screen.time_RRS_gsqrt","class.time_RRS_gsqrt","ERR_RRS_gsqrt","screen.time_KG_gsqrt","class.time_KG_gsqrt","ERR_KG_gsqrt","captured#Blocks","modelsize_MarS_gsqrt","modelsize_MixS_gsqrt","modelsize_MV_gsqrt","modelsize_RRS_gsqrt","modelsize_KG_gsqrt","capSig_MarS_gsqrt","capSig_MixS_gsqrt","capSig_MV_gsqrt","capSig_RRS_gsqrt","capSig_KG_gsqrt","capNoise_MarS_gsqrt","capNoise_MixS_gsqrt","capNoise_MV_gsqrt","capNoise_RRS_gsqrt","capNoise_KG_gsqrt","MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_glog","MixS_glog","screen.time_MV_glog","class.time_MV_glog","ERR_MV_glog","screen.time_RRS_glog","class.time_RRS_glog","ERR_RRS_glog","screen.time_KG_glog","class.time_KG_glog","ERR_KG_glog","captured#Blocks","modelsize_MarS_glog","modelsize_MixS_glog","modelsize_MV_glog","modelsize_RRS_glog","modelsize_KG_glog","capSig_MarS_glog","capSig_MixS_glog","capSig_MV_glog","capSig_RRS_glog","capSig_KG_glog","capNoise_MarS_glog","capNoise_MixS_glog","capNoise_MV_glog","capNoise_RRS_glog","capNoise_KG_glog","screen.time_MCSSVMLIN","class.time_MCSSVMLIN","ERR_MCSSVMLIN","screen.time_MCSSVMRBF","class.time_MCSSVMRBF","ERR_MCSSVMRBF","modelsize_MCSSVMLIN","modelsize_MCSSVMRBF","capSig_MCSSVMLIN","capSig_MCSSVMRBF","capNoise_MCSSVMLIN","capNoise_MCSSVMRBF"
0.0200000000004366,0.0200000000004366,0.0600000000013097,0.0200000000004366,0.389999999999418,0.93999999999869,0.526,0.506,0,0.0200000000004366,0.51,0,0.0300000000024738,0.51,0,0.380000000001019,0.51,0,4,7,10,10,10,2,2,2,2,2,5,3,0,0,0,0,0.00999999999839929,0.0600000000013097,0,0.389999999999418,0.94999999999709,0.526,0.504,0,0.639999999999418,0.518,0,0.0400000000008731,0.518,0,0.0100000000020373,0.518,0,4,5,10,10,10,2,2,2,2,2,5,5,0,0,0,0,0.00999999999839929,0.069999999999709,0.00999999999839929,0.389999999999418,1.56000000000131,0.528,0.486,0,0.0100000000020373,0.514,0,0.329999999998108,0.514,0,0.0299999999988358,0.514,0,4,6,10,10,10,2,2,2,2,2,5,4,0,0,0,0.319999999999709,0,0.512,0.319999999999709,0,0.5,10,10,2,2,0,0
0.00999999999839929,0.0199999999967986,0.0599999999976717,0,0.110000000000582,0.0299999999988358,0.48,0.522,0,0.329999999998108,0.492,0,0.0100000000020373,0.492,0.0100000000020373,0.329999999998108,0.492,0,2,2,10,10,10,0,0,2,2,2,6,6,0,0,0,0,0.0200000000004366,0.0600000000013097,0.0200000000004366,0.110000000000582,1.59000000000015,0.462,0.494,0,0.330000000001746,0.47,0,0.00999999999839929,0.47,0,0.0100000000020373,0.47,0,2,1,10,10,10,0,0,2,2,2,6,7,0,0,0,0,0.0200000000004366,0.0600000000013097,0,0.0999999999985448,0.650000000001455,0.464,0.494,0,0.0299999999988358,0.466,0,0.0299999999988358,0.466,0.0200000000004366,0.0200000000004366,0.466,0,2,1,10,10,10,0,0,2,2,2,6,7,0,0,0,0.944999999999709,0,0.504,0.944999999999709,0,0.484,10,10,2,2,0,0
0,0.00999999999839929,0.0600000000013097,0,0.130000000001019,0.340000000000146,0.516,0.496,0,0.0299999999988358,0.51,0.00999999999839929,0.0200000000004366,0.51,0,0.0100000000020373,0.51,0,1,2,10,10,10,1,1,2,2,2,7,6,0,0,0,0,0.00999999999839929,0.069999999999709,0,0.130000000001019,0.970000000001164,0.522,0.484,0,0.0300000000024738,0.506,0,0.0299999999988358,0.506,0,0.650000000001455,0.506,0,1,2,10,10,10,1,1,2,2,2,7,6,0,0,0,0,0.0100000000020373,0.0499999999992724,0,0.119999999998981,0.959999999999127,0.52,0.5,0,0.0400000000008731,0.522,0.00999999999839929,0.0300000000024738,0.522,0,0.0299999999988358,0.522,0,1,2,10,10,10,1,1,2,2,2,7,6,0,0,0,0.329999999999927,0,0.508,0.329999999999927,0,0.47,10,10,2,2,0,0
0,0.0200000000004366,0.0600000000013097,0,0.130000000001019,0.950000000000728,0.458,0.48,0,0.629999999997381,0.45,0,0.0300000000024738,0.45,0,0.0299999999988358,0.45,0,5,2,10,10,10,2,0,2,2,2,4,6,0,0,0,0,0.0199999999967986,0.0499999999992724,0,0.120000000002619,0.639999999999418,0.462,0.5,0,0.329999999998108,0.466,0,0.0300000000024738,0.466,0,0.0200000000004366,0.466,0,5,1,10,10,10,2,0,2,2,2,4,7,0,0,0,0.00999999999839929,0.0200000000004366,0.0600000000013097,0.0200000000004366,0.130000000001019,0.639999999999418,0.462,0.506,0,0.0400000000008731,0.444,0,0.0300000000024738,0.444,0,0.0299999999988358,0.444,0,5,1,10,10,10,2,0,2,2,2,4,7,0,0,0,0.170000000000073,0,0.47,0.170000000000073,0.00999999999839929,0.444,10,10,2,2,0,0
0,0.0200000000004366,0.0600000000013097,0.0200000000004366,0.119999999998981,0.350000000002183,0.508,0.516,0,0.0100000000020373,0.516,0,0.0299999999988358,0.516,0,0.0400000000008731,0.516,0,5,2,10,10,10,2,0,2,2,2,5,7,0,0,0,0,0.0200000000004366,0.0599999999976717,0,0.119999999998981,0.659999999999854,0.506,0.514,0,0.639999999999418,0.514,0,0.0299999999988358,0.514,0,0.0300000000024738,0.514,0,5,2,10,10,10,2,0,2,2,2,5,7,0,0,0,0,0.0299999999988358,0.0600000000013097,0,0.110000000000582,0.360000000000582,0.506,0.518,0,0.0299999999988358,0.518,0,0.0400000000008731,0.518,0,0.0100000000020373,0.518,0,5,2,10,10,10,2,0,2,2,2,5,7,0,0,0,0.164999999999054,0,0.504,0.164999999999054,0,0.49,10,10,2,2,0,0
0,0,0.0600000000013097,0,0.120000000002619,0.329999999998108,0.46,0.446,0,0.0299999999988358,0.506,0,0.0300000000024738,0.506,0,0.0299999999988358,0.506,0,1,2,10,10,10,0,0,2,2,2,8,7,0,0,0,0,0.0200000000004366,0.0600000000013097,0,0.110000000000582,1.25,0.472,0.472,0.0200000000004366,0.340000000000146,0.486,0,0.0200000000004366,0.486,0,0.319999999999709,0.486,0,1,1,10,10,10,0,0,2,2,2,8,8,0,0,0,0.0200000000004366,0.0200000000004366,0.0600000000013097,0,0.130000000001019,0.970000000001164,0.472,0.472,0,0.340000000000146,0.472,0,0.0299999999988358,0.472,0,0.330000000001746,0.472,0,1,1,10,10,10,0,0,2,2,2,8,8,0,0,0,0.174999999999272,0,0.474,0.174999999999272,0,0.474,10,10,2,2,0,0
0,0.0200000000004366,0.0599999999976717,0,0.119999999998981,0.349999999998545,0.508,0.52,0,0.319999999999709,0.512,0,0.350000000002183,0.512,0,0.0299999999988358,0.512,0,1,2,10,10,10,0,0,2,2,2,7,6,0,0,0,0,0.0200000000004366,0.069999999999709,0,0.120000000002619,0.969999999997526,0.5,0.514,0,0.329999999998108,0.51,0,0.00999999999839929,0.51,0,0.0200000000004366,0.51,0,1,2,10,10,10,0,0,2,2,2,7,6,0,0,0,0.0100000000020373,0.0200000000004366,0.0599999999976717,0,0.109999999996944,0.94999999999709,0.502,0.516,0.0199999999967986,0.0299999999988358,0.514,0,0.330000000001746,0.514,0,0.0299999999988358,0.514,0,1,2,10,10,10,0,0,2,2,2,7,6,0,0,0,0.474999999998545,0.00999999999839929,0.524,0.474999999998545,0,0.492,10,10,2,2,0,0
0,0.00999999999839929,0.0499999999992724,0,0.130000000001019,0.659999999999854,0.486,0.392,0,0.0299999999988358,0.496,0,0.00999999999839929,0.496,0.0100000000020373,0.0300000000024738,0.496,0,4,2,10,10,10,0,0,2,2,2,4,7,0,0,0,0,0.0200000000004366,0.0599999999976717,0,0.119999999998981,1.27000000000044,0.52,0.416,0,0.0400000000008731,0.492,0,0.319999999999709,0.492,0,0.0299999999988358,0.492,0,4,2,10,10,10,0,0,2,2,2,4,7,0,0,0,0,0.0200000000004366,0.0600000000013097,0,0.130000000001019,0.639999999999418,0.51,0.41,0,0.0299999999988358,0.494,0,0.340000000000146,0.494,0,0.330000000001746,0.494,0,4,2,10,10,10,0,0,2,2,2,4,7,0,0,0,0.174999999999272,0,0.508,0.174999999999272,0,0.464,10,10,2,2,0,0
0,0.0299999999988358,0.069999999999709,0,0.130000000001019,0.639999999999418,0.496,0.51,0,0.0299999999988358,0.492,0,0.0200000000004366,0.492,0.0199999999967986,0.0299999999988358,0.492,0,5,2,10,10,10,2,0,2,2,2,4,7,0,0,0,0.00999999999839929,0.0200000000004366,0.0600000000013097,0,0.119999999998981,1.2599999999984,0.518,0.524,0,0.0299999999988358,0.522,0,0.0200000000004366,0.522,0,0.0200000000004366,0.522,0,5,1,10,10,10,2,0,2,2,2,4,7,0,0,0,0.00999999999839929,0.00999999999839929,0.0599999999976717,0.0200000000004366,0.130000000001019,1.25,0.51,0.526,0,0.330000000001746,0.52,0,0.00999999999839929,0.52,0,0.0299999999988358,0.52,0,5,1,10,10,10,2,0,2,2,2,4,7,0,0,0,0.170000000000073,0,0.516,0.170000000000073,0.0200000000004366,0.504,10,10,2,2,0,0
0.0200000000004366,0.00999999999839929,0.0600000000013097,0.00999999999839929,0.110000000000582,0.330000000001746,0.508,0.458,0,0.0300000000024738,0.52,0,0.00999999999839929,0.52,0,0.0200000000004366,0.52,0,3,2,10,10,10,1,0,2,2,2,6,7,0,0,0,0.0100000000020373,0.0200000000004366,0.0600000000013097,0,0.119999999998981,0.350000000002183,0.506,0.474,0,0.319999999999709,0.526,0,0.350000000002183,0.526,0,0.329999999998108,0.526,0,3,2,10,10,10,1,0,2,2,2,6,7,0,0,0,0,0.0299999999988358,0.0600000000013097,0,0.130000000001019,1.58000000000175,0.51,0.464,0,0.0299999999988358,0.524,0,0.0299999999988358,0.524,0,0.0299999999988358,0.524,0,3,2,10,10,10,1,0,2,2,2,6,7,0,0,0,0.174999999999272,0,0.534,0.174999999999272,0,0.512,10,10,2,2,0,0
0,0.00999999999839929,0.0499999999992724,0,0.130000000001019,0.0499999999992724,0.508,0.536,0,0.619999999998981,0.51,0,0.0300000000024738,0.51,0,0.329999999998108,0.51,0,5,2,10,10,10,1,0,2,2,2,3,6,0,0,0,0,0.0299999999988358,0.069999999999709,0,0.130000000001019,0.0299999999988358,0.496,0.534,0,0.329999999998108,0.506,0,0.0299999999988358,0.506,0,0.330000000001746,0.506,0,5,2,10,10,10,1,0,2,2,2,3,6,0,0,0,0,0.00999999999839929,0.0600000000013097,0,0.130000000001019,1.28000000000247,0.504,0.538,0,0.0200000000004366,0.508,0,0.0299999999988358,0.508,0,0.0299999999988358,0.508,0,5,2,10,10,10,1,0,2,2,2,3,6,0,0,0,0.329999999999927,0,0.54,0.329999999999927,0.0100000000020373,0.466,10,10,2,2,0,0
0,0.0200000000004366,0.0600000000013097,0,0.110000000000582,0.639999999999418,0.484,0.454,0,0.0200000000004366,0.498,0,0.319999999999709,0.498,0.00999999999839929,0.650000000001455,0.498,0,3,2,10,10,10,1,2,2,2,2,6,7,0,0,0,0,0.0100000000020373,0.0499999999992724,0,0.129999999997381,0.649999999997817,0.492,0.478,0,0.329999999998108,0.512,0,0.0300000000024738,0.512,0,0.329999999998108,0.512,0,3,2,10,10,10,1,2,2,2,2,6,7,0,0,0,0.0199999999967986,0.00999999999839929,0.069999999999709,0,0.130000000001019,0.639999999999418,0.496,0.484,0,0.0299999999988358,0.504,0,0.0299999999988358,0.504,0,0.0299999999988358,0.504,0,3,2,10,10,10,1,2,2,2,2,6,7,0,0,0,0.319999999999709,0,0.512,0.319999999999709,0.00999999999839929,0.502,10,10,2,2,0,0
0,0.0200000000004366,0.0600000000013097,0,0.290000000000873,0.659999999999854,0.5,0.422,0,0.330000000001746,0.462,0,0.319999999999709,0.462,0.0200000000004366,0.0400000000008731,0.462,0,2,5,10,10,10,0,2,2,2,2,6,4,0,0,0,0,0.0200000000004366,0.0600000000013097,0,0.279999999998836,0.340000000000146,0.466,0.452,0,0.0299999999988358,0.478,0,0.0299999999988358,0.478,0,0.309999999997672,0.478,0,2,4,10,10,10,0,2,2,2,2,6,5,0,0,0,0.0200000000004366,0.0200000000004366,0.0600000000013097,0,0.290000000000873,0.970000000001164,0.474,0.468,0,0.0300000000024738,0.474,0,0.0200000000004366,0.474,0.0200000000004366,0.330000000001746,0.474,0,2,4,10,10,10,0,2,2,2,2,6,5,0,0,0,0.319999999999709,0,0.512,0.319999999999709,0,0.476,10,10,2,2,0,0
0,0.0200000000004366,0.0600000000013097,0,0.200000000000728,0.649999999997817,0.478,0.494,0,0.349999999998545,0.498,0,0.0100000000020373,0.498,0.0100000000020373,0.0299999999988358,0.498,0,2,4,10,10,10,1,0,2,2,2,7,5,0,0,0,0.0200000000004366,0.0200000000004366,0.0600000000013097,0,0.220000000001164,1.56999999999971,0.444,0.5,0,0.329999999998108,0.47,0.00999999999839929,0.0300000000024738,0.47,0,0.0299999999988358,0.47,0,2,4,10,10,10,1,0,2,2,2,7,5,0,0,0,0,0.00999999999839929,0.0599999999976717,0,0.220000000001164,0.639999999999418,0.46,0.498,0.0199999999967986,0.340000000000146,0.482,0,0.0200000000004366,0.482,0,0.00999999999839929,0.482,0,2,4,10,10,10,1,0,2,2,2,7,5,0,0,0,0.320000000001528,0,0.482,0.320000000001528,0,0.482,10,10,2,2,0,0
